YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2015,AL,"Electric Generators, Electric Utilities",Petroleum,"53,371"
2015,AL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2015,AR,Total Electric Power Industry,Total,"55,559,428"
2015,AR,Total Electric Power Industry,Coal,"21,740,033"
2015,AR,Total Electric Power Industry,Pumped Storage,"31,667"
2015,AR,Total Electric Power Industry,Hydroelectric Conventional,"3,569,195"
2015,AR,Total Electric Power Industry,Natural Gas,"14,866,286"
2015,AR,Total Electric Power Industry,Nuclear,"13,837,794"
2015,AR,Total Electric Power Industry,Other,"12,125"
2015,AR,Total Electric Power Industry,Petroleum,"60,444"
2015,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,927
2015,AR,Total Electric Power Industry,Other Biomass,"89,290"
2015,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,351,667"
2015,AR,"Combined Heat and Power, Industrial Power",Total,"1,749,893"
2015,AR,"Combined Heat and Power, Industrial Power",Coal,"57,479"
2015,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"320,298"
2015,AR,"Combined Heat and Power, Industrial Power",Other,"12,125"
2015,AR,"Combined Heat and Power, Industrial Power",Petroleum,"8,325"
2015,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"1,351,667"
2015,AR,"Combined Heat and Power, Commercial Power",Total,"6,294"
2015,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"2,087"
2015,AR,"Combined Heat and Power, Commercial Power",Other Biomass,"4,206"
2015,AR,"Combined Heat and Power, Electric Power",Total,"1,320,374"
2015,AR,"Combined Heat and Power, Electric Power",Natural Gas,"1,304,972"
2015,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2015,AR,"Combined Heat and Power, Electric Power",Other Biomass,"15,402"
2015,AR,"Electric Generators, Independent Power Producers",Total,"12,944,730"
2015,AR,"Electric Generators, Independent Power Producers",Coal,"4,048,782"
2015,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"48,556"
2015,AR,"Electric Generators, Independent Power Producers",Natural Gas,"8,763,352"
2015,AR,"Electric Generators, Independent Power Producers",Petroleum,"13,431"
2015,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,927
2015,AR,"Electric Generators, Independent Power Producers",Other Biomass,"69,682"
2015,AR,"Electric Generators, Electric Utilities",Total,"39,538,137"
2015,AR,"Electric Generators, Electric Utilities",Coal,"17,633,772"
2015,AR,"Electric Generators, Electric Utilities",Pumped Storage,"31,667"
2015,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,520,639"
2015,AR,"Electric Generators, Electric Utilities",Natural Gas,"4,475,577"
2015,AR,"Electric Generators, Electric Utilities",Nuclear,"13,837,794"
2015,AR,"Electric Generators, Electric Utilities",Petroleum,"38,688"
2015,AZ,Total Electric Power Industry,Total,"113,142,048"
2015,AZ,Total Electric Power Industry,Coal,"36,167,169"
2015,AZ,Total Electric Power Industry,Pumped Storage,"73,070"
2015,AZ,Total Electric Power Industry,Hydroelectric Conventional,"6,535,722"
2015,AZ,Total Electric Power Industry,Natural Gas,"33,657,102"
2015,AZ,Total Electric Power Industry,Nuclear,"32,525,595"
2015,AZ,Total Electric Power Industry,Petroleum,"48,118"
2015,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"3,456,608"
2015,AZ,Total Electric Power Industry,Other Biomass,"49,644"
2015,AZ,Total Electric Power Industry,Wind,"452,035"
2015,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"176,984"
2015,AZ,"Combined Heat and Power, Commercial Power",Total,"151,447"
2015,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"129,756"
2015,AZ,"Combined Heat and Power, Commercial Power",Petroleum,21
2015,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"21,671"
2015,AZ,"Combined Heat and Power, Electric Power",Total,"27,171"
2015,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"27,171"
2015,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2015,AZ,"Electric Generators, Independent Power Producers",Total,"18,584,104"
2015,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"15,002,830"
2015,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"2,909,944"
2015,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"42,311"
2015,AZ,"Electric Generators, Independent Power Producers",Wind,"452,035"
2015,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"176,984"
2015,AZ,"Electric Generators, Electric Utilities",Total,"94,379,325"
2015,AZ,"Electric Generators, Electric Utilities",Coal,"36,167,169"
2015,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"73,070"
2015,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"6,535,722"
2015,AZ,"Electric Generators, Electric Utilities",Natural Gas,"18,497,346"
2015,AZ,"Electric Generators, Electric Utilities",Nuclear,"32,525,595"
2015,AZ,"Electric Generators, Electric Utilities",Petroleum,"48,097"
2015,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"524,993"
2015,AZ,"Electric Generators, Electric Utilities",Other Biomass,"7,333"
2015,CA,Total Electric Power Industry,Total,"196,703,858"
2015,CA,Total Electric Power Industry,Coal,"297,874"
2015,CA,Total Electric Power Industry,Geothermal,"11,883,135"
2015,CA,Total Electric Power Industry,Pumped Storage,"112,650"
2015,CA,Total Electric Power Industry,Hydroelectric Conventional,"13,808,498"
2015,CA,Total Electric Power Industry,Natural Gas,"116,139,609"
2015,CA,Total Electric Power Industry,Nuclear,"18,505,385"
2015,CA,Total Electric Power Industry,Other Gases,"1,548,638"
2015,CA,Total Electric Power Industry,Other,"811,717"
2015,CA,Total Electric Power Industry,Petroleum,"84,515"
2015,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"14,814,384"
2015,CA,Total Electric Power Industry,Other Biomass,"2,883,729"
2015,CA,Total Electric Power Industry,Wind,"12,229,559"
2015,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"3,584,165"
2015,CA,"Combined Heat and Power, Industrial Power",Total,"14,510,816"
2015,CA,"Combined Heat and Power, Industrial Power",Coal,"297,874"
2015,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"11,516,082"
2015,CA,"Combined Heat and Power, Industrial Power",Other Gases,"1,548,638"
2015,CA,"Combined Heat and Power, Industrial Power",Other,"606,134"
2015,CA,"Combined Heat and Power, Industrial Power",Petroleum,"24,747"
2015,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"6,612"
2015,CA,"Combined Heat and Power, Industrial Power",Other Biomass,"5,504"
2015,CA,"Combined Heat and Power, Industrial Power",Wind,"3,984"
2015,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"501,240"
2015,CA,"Combined Heat and Power, Commercial Power",Total,"2,888,734"
2015,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2015,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"3,454"
2015,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"1,853,360"
2015,CA,"Combined Heat and Power, Commercial Power",Other,0
2015,CA,"Combined Heat and Power, Commercial Power",Petroleum,409
2015,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"96,651"
2015,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"929,442"
2015,CA,"Combined Heat and Power, Commercial Power",Wind,"5,418"
2015,CA,"Combined Heat and Power, Electric Power",Total,"17,246,706"
2015,CA,"Combined Heat and Power, Electric Power",Coal,0
2015,CA,"Combined Heat and Power, Electric Power",Natural Gas,"16,159,109"
2015,CA,"Combined Heat and Power, Electric Power",Other,"95,806"
2015,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2015,CA,"Combined Heat and Power, Electric Power",Other Biomass,"200,364"
2015,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"791,426"
2015,CA,"Electric Generators, Independent Power Producers",Total,"90,907,434"
2015,CA,"Electric Generators, Independent Power Producers",Geothermal,"11,055,938"
2015,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"560,056"
2015,CA,"Electric Generators, Independent Power Producers",Natural Gas,"49,535,498"
2015,CA,"Electric Generators, Independent Power Producers",Other,"111,101"
2015,CA,"Electric Generators, Independent Power Producers",Petroleum,"24,720"
2015,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"14,236,924"
2015,CA,"Electric Generators, Independent Power Producers",Other Biomass,"1,564,201"
2015,CA,"Electric Generators, Independent Power Producers",Wind,"11,527,497"
2015,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"2,291,499"
2015,CA,"Electric Generators, Electric Utilities",Total,"71,150,169"
2015,CA,"Electric Generators, Electric Utilities",Geothermal,"827,197"
2015,CA,"Electric Generators, Electric Utilities",Pumped Storage,"112,650"
2015,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"13,244,988"
2015,CA,"Electric Generators, Electric Utilities",Natural Gas,"37,075,560"
2015,CA,"Electric Generators, Electric Utilities",Nuclear,"18,505,385"
2015,CA,"Electric Generators, Electric Utilities",Other,"-1,325"
2015,CA,"Electric Generators, Electric Utilities",Petroleum,"34,639"
2015,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"474,197"
2015,CA,"Electric Generators, Electric Utilities",Other Biomass,"184,218"
2015,CA,"Electric Generators, Electric Utilities",Wind,"692,660"
2015,CO,Total Electric Power Industry,Total,"52,393,077"
2015,CO,Total Electric Power Industry,Coal,"31,540,895"
2015,CO,Total Electric Power Industry,Pumped Storage,"-278,523"
2015,CO,Total Electric Power Industry,Hydroelectric Conventional,"1,620,161"
2015,CO,Total Electric Power Industry,Natural Gas,"11,643,750"
2015,CO,Total Electric Power Industry,Other,"52,324"
2015,CO,Total Electric Power Industry,Petroleum,"7,265"
2015,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,"251,371"
2015,CO,Total Electric Power Industry,Other Biomass,"79,724"
2015,CO,Total Electric Power Industry,Wind,"7,475,279"
2015,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,832
2015,CO,"Combined Heat and Power, Industrial Power",Total,"69,437"
2015,CO,"Combined Heat and Power, Industrial Power",Coal,"8,211"
2015,CO,"Combined Heat and Power, Industrial Power",Natural Gas,"18,568"
2015,CO,"Combined Heat and Power, Industrial Power",Other,"39,877"
2015,CO,"Combined Heat and Power, Industrial Power",Petroleum,30
2015,CO,"Combined Heat and Power, Industrial Power",Wind,"2,751"
2015,CO,"Combined Heat and Power, Commercial Power",Total,"27,872"
2015,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"6,481"
2015,CO,"Combined Heat and Power, Commercial Power",Natural Gas,"4,363"
2015,CO,"Combined Heat and Power, Commercial Power",Petroleum,2
2015,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"13,189"
2015,CO,"Combined Heat and Power, Commercial Power",Wind,"3,837"
2015,CO,"Combined Heat and Power, Electric Power",Total,"209,167"
2015,CO,"Combined Heat and Power, Electric Power",Coal,"61,857"
2015,CO,"Combined Heat and Power, Electric Power",Natural Gas,"111,964"
2015,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2015,CO,"Combined Heat and Power, Electric Power",Other Biomass,"35,345"
2015,CO,"Electric Generators, Independent Power Producers",Total,"9,931,648"
2015,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"184,134"
2015,CO,"Electric Generators, Independent Power Producers",Natural Gas,"2,117,604"
2015,CO,"Electric Generators, Independent Power Producers",Other,"12,447"
2015,CO,"Electric Generators, Independent Power Producers",Petroleum,115
2015,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"238,182"
2015,CO,"Electric Generators, Independent Power Producers",Other Biomass,"44,379"
2015,CO,"Electric Generators, Independent Power Producers",Wind,"7,333,955"
2015,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,832
2015,CO,"Electric Generators, Electric Utilities",Total,"42,154,954"
2015,CO,"Electric Generators, Electric Utilities",Coal,"31,470,826"
2015,CO,"Electric Generators, Electric Utilities",Pumped Storage,"-278,523"
2015,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,429,546"
2015,CO,"Electric Generators, Electric Utilities",Natural Gas,"9,391,250"
2015,CO,"Electric Generators, Electric Utilities",Petroleum,"7,118"
2015,CO,"Electric Generators, Electric Utilities",Wind,"134,736"
2015,CO,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2015,CT,Total Electric Power Industry,Total,"37,470,622"
2015,CT,Total Electric Power Industry,Coal,"600,469"
2015,CT,Total Electric Power Industry,Pumped Storage,"-3,707"
2015,CT,Total Electric Power Industry,Hydroelectric Conventional,"302,467"
2015,CT,Total Electric Power Industry,Natural Gas,"17,362,309"
2015,CT,Total Electric Power Industry,Nuclear,"17,410,917"
2015,CT,Total Electric Power Industry,Other,"556,468"
2015,CT,Total Electric Power Industry,Petroleum,"436,792"
2015,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,"17,439"
2015,CT,Total Electric Power Industry,Other Biomass,"597,714"
2015,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,"189,754"
2015,CT,"Combined Heat and Power, Industrial Power",Total,"485,961"
2015,CT,"Combined Heat and Power, Industrial Power",Natural Gas,"477,405"
2015,CT,"Combined Heat and Power, Industrial Power",Petroleum,"8,556"
2015,CT,"Combined Heat and Power, Commercial Power",Total,"401,950"
2015,CT,"Combined Heat and Power, Commercial Power",Natural Gas,"385,142"
2015,CT,"Combined Heat and Power, Commercial Power",Other,"3,379"
2015,CT,"Combined Heat and Power, Commercial Power",Petroleum,"9,874"
2015,CT,"Combined Heat and Power, Commercial Power",Other Biomass,"3,516"
2015,CT,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,39
2015,CT,"Combined Heat and Power, Electric Power",Total,"196,598"
2015,CT,"Combined Heat and Power, Electric Power",Natural Gas,"192,421"
2015,CT,"Combined Heat and Power, Electric Power",Petroleum,"4,176"
2015,CT,"Electric Generators, Independent Power Producers",Total,"36,341,469"
2015,CT,"Electric Generators, Independent Power Producers",Coal,"600,469"
2015,CT,"Electric Generators, Independent Power Producers",Pumped Storage,"-3,707"
2015,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"278,414"
2015,CT,"Electric Generators, Independent Power Producers",Natural Gas,"16,294,468"
2015,CT,"Electric Generators, Independent Power Producers",Nuclear,"17,410,917"
2015,CT,"Electric Generators, Independent Power Producers",Other,"553,090"
2015,CT,"Electric Generators, Independent Power Producers",Petroleum,"406,466"
2015,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"17,439"
2015,CT,"Electric Generators, Independent Power Producers",Other Biomass,"594,198"
2015,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"189,715"
2015,CT,"Electric Generators, Electric Utilities",Total,"44,645"
2015,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"24,053"
2015,CT,"Electric Generators, Electric Utilities",Natural Gas,"12,873"
2015,CT,"Electric Generators, Electric Utilities",Petroleum,"7,719"
2015,CT,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2015,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2015,DC,Total Electric Power Industry,Total,"53,750"
2015,DC,Total Electric Power Industry,Natural Gas,"22,653"
2015,DC,Total Electric Power Industry,Petroleum,98
2015,DC,Total Electric Power Industry,Other Biomass,"30,999"
2015,DC,"Combined Heat and Power, Commercial Power",Total,"22,751"
2015,DC,"Combined Heat and Power, Commercial Power",Natural Gas,"22,653"
2015,DC,"Combined Heat and Power, Commercial Power",Petroleum,98
2015,DC,"Combined Heat and Power, Electric Power",Total,"30,999"
2015,DC,"Combined Heat and Power, Electric Power",Natural Gas,0
2015,DC,"Combined Heat and Power, Electric Power",Other Biomass,"30,999"
2015,DE,Total Electric Power Industry,Total,"7,810,006"
2015,DE,Total Electric Power Industry,Coal,"598,588"
2015,DE,Total Electric Power Industry,Natural Gas,"6,689,267"
2015,DE,Total Electric Power Industry,Other Gases,"238,081"
2015,DE,Total Electric Power Industry,Petroleum,"154,134"
2015,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,"48,512"
2015,DE,Total Electric Power Industry,Other Biomass,"76,298"
2015,DE,Total Electric Power Industry,Wind,"5,126"
2015,DE,"Combined Heat and Power, Industrial Power",Total,"1,220,627"
2015,DE,"Combined Heat and Power, Industrial Power",Natural Gas,"966,654"
2015,DE,"Combined Heat and Power, Industrial Power",Other Gases,"238,081"
2015,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2015,DE,"Combined Heat and Power, Industrial Power",Other Biomass,"15,892"
2015,DE,"Combined Heat and Power, Commercial Power",Total,"6,198"
2015,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,072"
2015,DE,"Combined Heat and Power, Commercial Power",Wind,"5,126"
2015,DE,"Combined Heat and Power, Electric Power",Total,"259,727"
2015,DE,"Combined Heat and Power, Electric Power",Coal,0
2015,DE,"Combined Heat and Power, Electric Power",Natural Gas,"255,892"
2015,DE,"Combined Heat and Power, Electric Power",Petroleum,"3,835"
2015,DE,"Electric Generators, Independent Power Producers",Total,"6,273,402"
2015,DE,"Electric Generators, Independent Power Producers",Coal,"598,588"
2015,DE,"Electric Generators, Independent Power Producers",Natural Gas,"5,428,174"
2015,DE,"Electric Generators, Independent Power Producers",Petroleum,"145,306"
2015,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"40,928"
2015,DE,"Electric Generators, Independent Power Producers",Other Biomass,"60,406"
2015,DE,"Electric Generators, Electric Utilities",Total,"50,051"
2015,DE,"Electric Generators, Electric Utilities",Natural Gas,"38,548"
2015,DE,"Electric Generators, Electric Utilities",Petroleum,"4,992"
2015,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"6,511"
2015,FL,Total Electric Power Industry,Total,"237,412,633"
2015,FL,Total Electric Power Industry,Coal,"42,904,009"
2015,FL,Total Electric Power Industry,Hydroelectric Conventional,"244,294"
2015,FL,Total Electric Power Industry,Natural Gas,"155,824,152"
2015,FL,Total Electric Power Industry,Nuclear,"28,121,916"
2015,FL,Total Electric Power Industry,Other Gases,"4,774"
2015,FL,Total Electric Power Industry,Other,"3,020,545"
2015,FL,Total Electric Power Industry,Petroleum,"2,149,515"
2015,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"223,933"
2015,FL,Total Electric Power Industry,Other Biomass,"2,501,859"
2015,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,417,636"
2015,FL,"Combined Heat and Power, Industrial Power",Total,"5,356,123"
2015,FL,"Combined Heat and Power, Industrial Power",Coal,"186,886"
2015,FL,"Combined Heat and Power, Industrial Power",Natural Gas,"1,391,603"
2015,FL,"Combined Heat and Power, Industrial Power",Other Gases,"4,774"
2015,FL,"Combined Heat and Power, Industrial Power",Other,"1,648,758"
2015,FL,"Combined Heat and Power, Industrial Power",Petroleum,"14,226"
2015,FL,"Combined Heat and Power, Industrial Power",Other Biomass,"375,674"
2015,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"1,734,204"
2015,FL,"Combined Heat and Power, Commercial Power",Total,"79,072"
2015,FL,"Combined Heat and Power, Commercial Power",Natural Gas,"32,740"
2015,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2015,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,651"
2015,FL,"Combined Heat and Power, Commercial Power",Other Biomass,"44,680"
2015,FL,"Combined Heat and Power, Electric Power",Total,"4,011,388"
2015,FL,"Combined Heat and Power, Electric Power",Coal,"1,128,648"
2015,FL,"Combined Heat and Power, Electric Power",Natural Gas,"2,676,878"
2015,FL,"Combined Heat and Power, Electric Power",Other,0
2015,FL,"Combined Heat and Power, Electric Power",Petroleum,"1,513"
2015,FL,"Combined Heat and Power, Electric Power",Other Biomass,"124,083"
2015,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"80,266"
2015,FL,"Electric Generators, Independent Power Producers",Total,"9,718,630"
2015,FL,"Electric Generators, Independent Power Producers",Coal,0
2015,FL,"Electric Generators, Independent Power Producers",Natural Gas,"5,836,254"
2015,FL,"Electric Generators, Independent Power Producers",Other,"1,371,788"
2015,FL,"Electric Generators, Independent Power Producers",Petroleum,"5,865"
2015,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"48,461"
2015,FL,"Electric Generators, Independent Power Producers",Other Biomass,"1,853,096"
2015,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"603,167"
2015,FL,"Electric Generators, Electric Utilities",Total,"218,247,420"
2015,FL,"Electric Generators, Electric Utilities",Coal,"41,588,475"
2015,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"244,294"
2015,FL,"Electric Generators, Electric Utilities",Natural Gas,"145,886,677"
2015,FL,"Electric Generators, Electric Utilities",Nuclear,"28,121,916"
2015,FL,"Electric Generators, Electric Utilities",Petroleum,"2,127,911"
2015,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"173,821"
2015,FL,"Electric Generators, Electric Utilities",Other Biomass,"104,326"
2015,GA,Total Electric Power Industry,Total,"128,817,898"
2015,GA,Total Electric Power Industry,Coal,"37,130,630"
2015,GA,Total Electric Power Industry,Pumped Storage,"-814,532"
2015,GA,Total Electric Power Industry,Hydroelectric Conventional,"2,983,563"
2015,GA,Total Electric Power Industry,Natural Gas,"50,469,266"
2015,GA,Total Electric Power Industry,Nuclear,"33,838,462"
2015,GA,Total Electric Power Industry,Other,"87,117"
2015,GA,Total Electric Power Industry,Petroleum,"260,371"
2015,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"129,452"
2015,GA,Total Electric Power Industry,Other Biomass,"340,800"
2015,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,"4,392,768"
2015,GA,"Combined Heat and Power, Industrial Power",Total,"5,115,854"
2015,GA,"Combined Heat and Power, Industrial Power",Coal,"215,943"
2015,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,"21,265"
2015,GA,"Combined Heat and Power, Industrial Power",Natural Gas,"589,620"
2015,GA,"Combined Heat and Power, Industrial Power",Other,"87,117"
2015,GA,"Combined Heat and Power, Industrial Power",Petroleum,"155,164"
2015,GA,"Combined Heat and Power, Industrial Power",Other Biomass,"156,523"
2015,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"3,890,222"
2015,GA,"Combined Heat and Power, Commercial Power",Total,"14,056"
2015,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2015,GA,"Combined Heat and Power, Commercial Power",Petroleum,"3,151"
2015,GA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"3,121"
2015,GA,"Combined Heat and Power, Commercial Power",Other Biomass,"7,783"
2015,GA,"Combined Heat and Power, Electric Power",Total,"254,593"
2015,GA,"Combined Heat and Power, Electric Power",Natural Gas,"226,314"
2015,GA,"Combined Heat and Power, Electric Power",Petroleum,"15,458"
2015,GA,"Combined Heat and Power, Electric Power",Other Biomass,"12,821"
